vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
106,4,4487.0,63.0,0,0
102,6,4443.5,68.0,0,0
99,5,4428.0,68.5,0,0
96,5,4414.0,70.5,0,0
95,6,4441.5,74.5,0,0
94,7,4451.0,79.0,0,0
91,7,4448.5,82.5,0,0
90,8,4474.5,87.5,2,0
89,9,4493.0,93.0,2,0
89,9,4537.5,97.5,0,0
88,9,4555.5,102.0,0,0
88,9,4575.5,106.5,0,0
88,9,4619.5,111.0,0,0
87,9,4638.5,115.5,0,0
87,9,4682.0,120.0,0,0
87,9,4702.5,124.5,0,0
87,9,4746.0,129.0,0,0
88,9,4768.0,133.5,2,0
88,9,4812.0,138.0,0,0
87,9,4832.0,142.5,0,0
86,9,4853.0,147.0,2,0
86,9,4896.0,151.5,0,0
85,9,4916.5,156.0,0,0
86,9,4960.5,160.5,0,0
86,9,4983.0,165.0,0,0
85,9,5005.0,169.5,0,0
87,9,5050.5,174.0,0,0
89,9,5097.0,178.5,0,0
88,9,5123.5,183.0,1,0
90,9,5170.5,187.5,0,0
89,9,5198.0,192.0,1,0
88,9,5240.0,196.5,1,0
88,9,5284.0,201.0,0,0
88,9,5328.0,205.5,0,0
89,9,5373.5,210.0,0,0
89,9,5418.0,214.5,0,0
90,9,5464.0,219.0,0,0
91,9,5510.5,223.5,0,0
91,9,5556.0,228.0,0,0
91,9,5601.5,232.5,0,0
91,9,5647.0,237.0,1,0
91,9,5692.5,241.5,0,0
92,9,5739.5,246.0,0,0
92,9,5785.5,250.5,0,0
92,9,5831.5,255.0,0,0
92,9,5877.5,259.5,0,0
92,9,5923.5,264.0,0,0
92,9,5969.5,268.5,1,0
92,9,6015.5,273.0,0,0
93,9,6063.0,277.5,1,0
94,9,6111.0,282.0,0,0
94,9,6158.0,286.5,0,0
94,9,6205.0,291.0,0,0
94,9,6252.0,295.5,2,1
94,9,6299.0,300.0,0,0
94,9,6346.0,304.5,0,0
95,9,6394.5,309.0,0,1
95,9,6442.0,313.5,0,0
95,9,6489.5,318.0,0,0
95,9,6537.0,322.5,0,0
96,9,6586.0,327.0,0,0
96,9,6634.0,331.5,0,0
96,9,6682.0,336.0,0,0
96,9,6710.5,340.5,0,0
96,9,6758.5,345.0,0,0
96,9,6806.5,349.5,0,0
97,9,6856.0,354.0,1,0
98,9,6906.0,358.5,0,0
