hp_LEARNING_RATE,hp_GAMMA,hp_BATCH_SIZE,hp_TAU,loss,episode_reward,training_iteration,avg_env_step_ms,avg_train_step_ms,gpu_time,trial_name,trial_wall_time_s
2.7750317042195394e-06,0.9821506287463297,128,0.004319774631028941,1.8815734386444092,-484.04999999999984,2,182.90231909952126,123.5857741010841,0.0,56138772,
2.733029162697237e-06,0.9861245161228829,128,0.004402955935669005,1.315744400024414,-465.01500000000055,8,176.96465060219634,122.30872939783148,0.0,18110188,
2.5107708097554565e-06,0.9813139887572967,128,0.003955522658991612,1.685955286026001,-356.40499999999975,2,161.8421329006087,121.10534799809102,0.0,ad55d756,
6.8175560685540045e-06,0.981263488895989,128,0.0022773850905413655,1.5438907146453857,-398.0650000000003,4,172.28881959815044,124.89116760145407,0.0,8eaaf22c,
4.8187632758489026e-06,0.9827320073896736,256,0.004660721444392564,1.66666579246521,-402.3600000000003,2,167.69253800006118,110.25729530106764,0.0,7d2c10c4,
6.730494806472188e-06,0.9827871313159745,256,0.004191855014217331,1.6293911933898926,-397.6450000000007,2,163.3145761010237,110.33355720003601,0.0,a1a6af15,
3.4131414319314665e-06,0.9815887511059911,256,0.0018971176340179252,1.063317060470581,-361.19000000000017,8,154.99334339762572,120.11902750225272,0.0,786c2142,
3.2085830891740492e-06,0.9861221169472418,256,0.0019286984991123979,1.1322968006134033,-403.42500000000064,8,165.6995912018465,116.93491570081096,0.0,c6abd787,
3.382638324036006e-06,0.9817339067139089,256,0.0031198275692520226,1.270719289779663,-398.2299999999996,8,164.07601750269532,125.23018239834346,0.0,58e73d6c,
3.3335729172262684e-06,0.9817207580536211,256,0.003702118909222038,1.6285030841827393,-424.64000000000044,2,173.31533919810317,118.075413202052,0.0,bf982749,
3.3036108714092988e-06,0.9816949391477282,256,0.0030788612514715042,1.6535320281982422,-345.0899999999993,2,158.24083179992158,118.4192239016993,0.0,98db5715,
5.4574868250588074e-05,0.9810825049332647,256,0.003053534444356067,0.657028079032898,-655.5550000000006,20,96.7172492002137,51.15676169807557,0.0,c3cee603,
6.074811380012725e-05,0.9816580907272591,256,0.0009326793144954027,1.3345896005630493,-375.0950000000007,4,163.11486620095093,123.588567897561,0.0,b3ac7a18,
3.6091611381031508e-06,0.9889343452167566,256,0.0009449031957906578,2.0311150550842285,-355.4450000000001,2,155.40609110321384,112.75179229676723,0.0,768388ee,
5.814027797078757e-05,0.988580061401953,256,0.0009414335950946453,1.627493143081665,-423.9949999999992,4,156.06245860119816,99.11407229665201,0.0,71a64c6f,
2.1757035906825513e-06,0.9808480160218895,256,0.0009366616314136958,1.6444416046142578,-377.95000000000033,2,159.1809584000148,109.38018380245194,0.0,f6e963d0,
1.3673188225636072e-05,0.9809398982502981,256,0.0013694100144832153,1.825109839439392,-386.95499999999976,4,119.65034780011047,73.71951080067083,0.0,8ef6e37a,
5.3847940834161915e-05,0.9809234187214313,256,0.0026326017265654775,1.099696397781372,-426.8449999999993,8,105.55330790032167,65.65792040037923,0.0,1d909d25,
5.873691166460138e-05,0.9811188320254756,256,0.002815273070073721,1.6034069061279297,-355.584999999999,2,154.5877457013121,112.35052910028026,0.0,72ce3d26,
5.504358189413378e-05,0.9824446546515709,256,0.0010333975080508734,1.6604535579681396,-420.6399999999993,4,104.54862630157731,62.15421339974273,0.0,ac074464,
